language,perturbation,pipeline,cosine_similarity,num_comparison
fr,intensifier,semantic,0.7985498685056692,3554
fr,expansion_noimpact,semantic,0.7892987760012947,3541
fr,expansion_impact,semantic,0.7629573751289422,3479
fr,omission,semantic,0.763130657503953,3434
fr,alteration,semantic,0.7116241323114021,3483
hi,spelling,semantic,0.8022431182655282,3484
hi,word_order,semantic,0.7649691378956232,3495
hi,synonym,semantic,0.7791736825671388,3513
hi,intensifier,semantic,0.7878645239413831,3504
hi,expansion_noimpact,semantic,0.788774368895426,3454
hi,expansion_impact,semantic,0.7612278858667959,3427
hi,omission,semantic,0.7349247268183301,3451
hi,alteration,semantic,0.7452788370009059,3499
tl,spelling,semantic,0.8203723050470331,3500
tl,word_order,semantic,0.7918768043496968,3526
tl,synonym,semantic,0.801741257481743,3542
tl,intensifier,semantic,0.8046129801418059,3510
tl,expansion_noimpact,semantic,0.8064075580577125,3473
tl,expansion_impact,semantic,0.783912663513838,3471
tl,omission,semantic,0.7658679427788101,3506
tl,alteration,semantic,0.7483651793327436,3472
zh,spelling,semantic,0.7450721384692368,3496
zh,word_order,semantic,0.7427143136069734,3436
zh,synonym,semantic,0.7445613822922591,3457
zh,intensifier,semantic,0.7385594757678405,3524
zh,expansion_noimpact,semantic,0.7450650634265433,3490
zh,expansion_impact,semantic,0.714884368758979,3496
zh,omission,semantic,0.7124340846285535,3566
zh,alteration,semantic,0.7055713596347165,3454
es,spelling,atomic,0.8910311212591083,1342
es,word_order,atomic,0.8858637912939115,1384
es,synonym,atomic,0.8854582547213563,1367
es,intensifier,atomic,0.8907968997846871,1374
es,expansion_noimpact,atomic,0.8917047787805902,1332
es,expansion_impact,atomic,0.8958496686181129,1355
es,omission,atomic,0.8551139074775298,1368
es,alteration,atomic,0.8041124625374678,1371
fr,spelling,atomic,0.8943965547612792,1353
fr,word_order,atomic,0.894173123718078,1316
fr,synonym,atomic,0.8890142274866056,1363
fr,intensifier,atomic,0.9040284997674156,1353
fr,expansion_noimpact,atomic,0.8909117641223003,1336
fr,expansion_impact,atomic,0.8812541160444257,1357
fr,omission,atomic,0.8656542854066269,1309
fr,alteration,atomic,0.7758853724644563,1364
hi,spelling,atomic,0.8906304817431607,1342
hi,word_order,atomic,0.8718360670814636,1350
hi,synonym,atomic,0.8789750152282122,1339
hi,intensifier,atomic,0.8972961544380244,1349
hi,expansion_noimpact,atomic,0.9018770391441692,1338
hi,expansion_impact,atomic,0.8722384289398013,1362
hi,omission,atomic,0.843069343150215,1361
hi,alteration,atomic,0.8365799460121893,1373
tl,spelling,atomic,0.9110717110305764,1363
tl,word_order,atomic,0.8952481880477262,1354
tl,synonym,atomic,0.8988933098643609,1346
tl,intensifier,atomic,0.8985935639701593,1369
tl,expansion_noimpact,atomic,0.9049264759549888,1383
tl,expansion_impact,atomic,0.8963230692983063,1340
tl,omission,atomic,0.8523438242181642,1299
tl,alteration,atomic,0.8338038025636171,1360
zh,spelling,atomic,0.8775817250714782,1356
zh,word_order,atomic,0.8639847183920465,1372
zh,synonym,atomic,0.871360466288081,1349
zh,intensifier,atomic,0.8747502188434003,1363
zh,expansion_noimpact,atomic,0.8651169774577449,1343
zh,expansion_impact,atomic,0.8690537810236139,1353
zh,omission,atomic,0.8318698565347065,1340
zh,alteration,atomic,0.8132389736207748,1330
